target,vehicle_age,vehicle_value,vehicle_power,ph_age,licence_years,licence_points,ph_owns_home,annual_mileage
2552.1087517331457,2,8495,61,56,17,0,1,10000
2180.465053100541,2,10891,94,62,18,0,1,8000
2978.760959898486,3,10266,89,48,15,0,0,9000
4361.395248779402,1,18700,113,47,15,0,0,8000
1887.628632604185,3,10431,92,48,19,3,0,9000
3859.221900507396,3,12179,92,42,11,0,1,11000
3026.671389182174,3,10135,86,46,13,0,1,8000
1997.4593685578873,4,8061,69,56,20,0,0,8000
3006.6236418744065,8,9413,89,48,14,0,1,13000
3348.494314326465,1,9788,72,39,8,0,1,5000
2825.090199586764,0,11991,99,50,20,3,0,9000
2120.225254445445,2,9139,83,47,16,0,0,3000
2420.110643153798,3,9989,91,70,20,3,1,11000
3394.999387705955,2,11994,102,45,11,0,1,7000
2073.435495635176,9,6616,105,53,19,0,0,5000
3267.472715114751,3,11352,89,54,15,0,1,5000
2311.2159011085305,5,8878,56,45,16,3,0,5000
3760.230935618011,9,7451,95,39,11,0,0,12000
2422.6773938602933,6,11421,94,55,19,0,0,11000
2782.633328491131,2,7955,87,43,12,0,1,7000
1582.8692137153275,11,10811,98,68,20,0,1,11000
2975.055804165422,1,11965,85,33,14,0,0,5000
2702.6988727494077,2,10133,78,43,13,0,1,6000
1975.2111726934831,3,9456,85,54,21,0,0,8000
2500.9976778112537,5,9978,89,52,16,0,1,4000
2482.4664759147436,5,9344,62,42,14,3,1,4000
3063.348095749106,6,9363,111,47,14,0,1,7000
2842.8422965143877,3,8333,75,32,13,3,0,2000
3340.698062281493,0,14894,109,47,15,0,0,5000
2658.3208548030852,2,16701,101,49,18,3,0,7000
3742.465918988317,3,12720,121,49,12,0,1,7000
3450.907427868425,1,12482,101,38,14,3,0,8000
3069.177951164012,3,12146,76,51,16,0,1,11000
2031.3676341395033,7,9921,65,59,19,3,1,9000
2884.669658706953,3,13173,103,51,15,0,0,6000
3688.293014336048,3,15795,99,37,11,0,0,9000
2426.334962256599,3,8937,63,43,14,0,1,7000
3989.044666208219,2,11704,95,50,13,0,1,10000
3518.59011178771,2,8701,56,40,13,3,1,12000
3434.222154695929,3,9376,93,42,13,0,0,7000
1821.969685140936,6,9361,83,60,22,0,0,8000
3995.50411520803,1,10616,100,40,13,0,0,3000
2281.2260530810745,8,8287,91,44,19,3,0,6000
3572.4248808707293,2,14095,100,47,16,3,0,3000
3477.5336897052607,3,8095,71,37,14,0,0,3000
2555.4634863745496,2,9799,72,47,15,0,1,6000
3875.5553689779704,3,8241,90,33,12,0,0,2000
2168.4328687278116,4,12064,96,54,19,0,1,7000
2540.293044781506,1,10742,76,43,19,0,0,4000
2287.2581792920823,2,9925,70,51,18,0,1,10000
2856.1503812277265,1,12606,90,50,14,3,1,5000
2400.1573707579546,4,8034,75,53,16,0,1,9000
2742.3475487512587,2,9319,75,46,17,0,0,5000
2713.2845215988937,3,7960,67,44,14,0,1,7000
2661.7680979243096,1,9721,68,52,15,0,1,9000
2588.769807641044,2,9391,72,42,14,0,0,4000
1689.8862399562558,5,7819,74,63,19,0,1,10000
2815.6691378440296,2,8962,60,50,15,0,1,7000
3287.12296484711,1,9875,103,48,15,0,1,12000
2027.3357078007828,2,10200,87,58,19,0,1,11000
3965.6564963162878,0,12075,111,43,11,0,1,12000
2039.6069104392682,3,9444,109,61,24,0,0,2000
4182.0941448420745,5,11185,92,35,8,0,1,11000
2282.228740441595,6,9348,74,46,17,6,0,4000
2735.5502381337596,2,12589,77,50,14,0,1,5000
2302.107321014912,0,11921,80,50,16,0,1,3000
4359.843063507764,7,8165,115,38,9,0,1,12000
2758.2437829909454,6,6740,64,47,18,0,0,8000
2666.0750962904676,5,8623,72,38,12,0,0,5000
3380.3562309384206,2,10429,71,53,17,0,1,10000
1979.2903622694453,6,9403,84,57,19,0,0,9000
3052.3986115062607,3,7992,88,28,14,0,0,2000
3356.9539181163145,2,8227,68,36,12,0,0,6000
3529.656341340929,0,15195,103,51,17,0,1,12000
2734.8263041333184,4,7511,63,45,17,0,0,7000
2900.3180132359175,3,10977,77,42,13,3,0,8000
3760.9804423868604,1,12028,97,49,15,3,0,1000
2858.0948094200726,0,11410,88,51,17,3,1,3000
2556.3983889675387,5,9471,70,55,17,0,1,10000
3401.457968142584,0,13538,75,33,14,0,0,10000
3058.2568835521643,4,11411,102,60,18,0,1,8000
2195.273914121765,2,9858,95,51,20,0,0,2000
2118.1843687787823,16,4255,101,53,18,0,0,13000
2293.76698848011,5,10250,66,55,15,0,1,8000
4198.817144803641,0,9687,85,24,5,3,0,2000
2246.425912053562,11,5881,82,57,17,3,1,9000
3040.7576006951303,4,8625,60,43,14,0,0,9000
2362.537631534864,0,13385,82,45,17,0,0,10000
1684.6908310456192,5,8852,76,55,22,3,0,2000
2376.5451931872067,1,12727,91,52,17,0,1,5000
3545.238526071858,2,8851,71,38,10,0,1,7000
1834.3702008136788,3,9350,79,58,18,0,1,11000
1945.305291118736,2,11047,63,54,18,0,1,4000
1919.189107495291,2,8535,87,62,20,0,1,11000
3533.7933234686047,1,10057,94,48,14,0,1,9000
2127.5995030941003,3,8415,89,57,19,3,1,5000
2230.783594398861,1,17248,114,64,20,0,1,12000
3227.1536249650076,7,7406,74,45,16,3,0,10000
3674.808591515476,3,12573,110,36,10,0,0,9000
3268.856335662105,1,8945,63,45,14,3,1,5000
3027.5994090956756,2,9445,84,45,14,0,1,5000
2291.817343464385,1,10777,98,49,18,0,0,10000
1649.472803987769,2,10394,99,62,22,0,1,5000
2760.873139475327,4,7725,86,44,15,0,0,8000
3037.0032867938626,2,12852,102,50,18,0,0,4000
3908.4331194156384,3,10027,105,45,12,3,1,10000
2714.0012101197503,1,10717,71,50,16,3,1,9000
2186.0457435505036,3,10967,90,59,16,0,1,8000
3661.0919507505055,1,13431,94,48,14,0,1,3000
3014.582501933541,8,11656,109,53,17,0,1,6000
2285.9979948091013,3,11126,109,54,21,0,0,9000
3544.921960850279,2,10977,115,42,13,0,1,13000
2878.566742926318,2,13168,115,61,18,0,1,10000
3502.08729787323,13,6834,129,44,14,3,0,7000
2933.781907256976,2,9484,98,46,15,3,1,4000
1658.8180982307179,1,10326,76,58,21,0,0,8000
3622.4408723937668,0,9912,72,38,13,3,0,5000
2779.7856865089625,8,7642,70,40,16,0,0,7000
2706.8324222765723,6,7441,61,49,15,0,1,11000
2716.1068440322915,0,9637,75,49,18,0,NA,3000
4239.623768992417,3,14425,107,52,14,3,1,12000
2465.2064071203313,6,9097,94,42,14,0,0,2000
3427.5918372535716,5,10282,101,39,14,0,0,9000
4747.784255218783,5,14716,125,54,12,0,1,10000
3806.244362375685,7,9366,87,34,8,0,1,11000
3801.709150462609,3,12967,108,39,11,0,1,7000
3824.73391082198,4,12947,93,29,8,0,0,5000
3208.008675980033,3,7886,99,46,12,0,1,4000
2697.6508864645493,1,8831,78,46,14,0,0,8000
3252.3641084708174,13,5287,71,49,14,0,1,15000
1651.159485031335,1,10207,74,55,21,6,0,8000
2972.6909533197077,3,9734,86,49,13,0,1,5000
3582.4225486656283,8,12596,86,42,10,3,1,5000
2474.891620132367,0,9142,79,41,15,0,0,6000
4956.0460797677615,6,14853,132,46,15,0,0,11000
2873.3105566388335,8,6945,64,50,15,3,1,13000
3352.645563967385,2,9649,90,38,10,0,1,4000
2888.630927886448,0,12284,67,46,9,3,1,7000
2716.5866818200802,5,13668,127,56,19,0,0,2000
3242.723763158919,0,13856,82,46,14,0,0,10000
2937.0444439585294,3,8467,79,41,15,0,0,9000
2632.569415467625,0,11959,88,45,13,0,1,3000
1919.1015740727914,2,8869,74,57,21,0,0,2000
2141.990202727335,3,10716,86,52,17,0,1,8000
3655.8280782012193,3,9679,112,48,12,0,1,12000
2286.2140136375806,8,8939,101,51,18,3,0,3000
3666.4898018135177,1,17554,106,42,15,0,0,8000
2069.247615181255,0,9934,84,52,20,3,0,1000
2560.9030374950794,3,NA,81,43,13,0,0,7000
3335.8705457905057,5,8613,72,35,8,0,1,7000
3161.8370991026154,6,9650,94,48,15,3,1,12000
2425.8386532967547,9,5485,96,64,23,0,1,12000
3591.7870927996914,8,12041,123,54,19,3,0,9000
2492.795159655101,7,13145,125,57,21,0,0,8000
2524.835170666241,3,10621,71,50,16,3,1,9000
2351.7360701547414,4,9819,73,42,16,0,0,4000
2656.402516538662,4,9217,63,45,13,0,1,4000
3575.9959014353885,0,11089,87,45,9,0,1,7000
3740.2230376916345,2,11558,116,43,14,0,0,9000
2540.67958071611,4,8536,NA,53,17,0,1,8000
3442.4316717202196,1,11986,119,37,9,0,1,10000
2282.9523314761045,3,9367,79,55,18,3,1,8000
2829.5517832413543,0,10410,83,55,15,0,1,7000
2868.3581224506665,4,10641,78,37,10,0,0,5000
2394.689538753079,5,7110,87,68,17,0,1,10000
3569.528318069774,2,12261,81,42,14,0,0,7000
2343.137041634807,3,NA,76,55,17,0,1,4000
3040.705215158903,1,10993,73,40,11,0,1,6000
1957.2313156961495,4,11094,72,57,19,0,1,10000
2974.817471372573,0,13580,78,49,15,3,1,9000
2172.6838708821115,6,8658,105,62,19,0,1,7000
3139.5982712317295,2,10889,82,43,15,0,0,10000
3322.5941858554106,3,8506,107,45,12,0,1,11000
2041.223731172479,12,4695,87,42,12,0,0,4000
2770.030463793327,6,7772,77,38,12,3,0,3000
2327.5876815636407,5,11618,88,60,20,0,1,13000
3115.7039567031807,2,13270,91,37,15,0,0,2000
3865.987723882369,1,15996,121,48,14,0,1,3000
1839.6848470401712,4,9260,87,52,18,0,0,9000
3033.859453318064,5,13480,105,48,15,3,1,12000
1968.8348469574134,10,6916,86,56,19,0,0,6000
3685.7248917160227,12,6771,100,35,11,3,0,8000
3282.9471069401566,4,11418,82,40,12,0,0,7000
3118.5559276788667,3,9620,88,50,16,0,1,4000
3097.32922923066,0,11116,62,43,14,3,1,3000
2676.772047583962,1,14886,107,59,20,0,1,11000
3694.135160866308,2,9815,109,53,15,0,1,8000
2509.7334178320457,2,9355,66,34,14,0,0,8000
2731.495319966239,2,9195,88,47,14,0,1,5000
3293.245566825803,2,9073,69,44,14,3,0,1000
2400.1848469069996,2,11473,71,46,17,6,0,7000
2677.268958728065,5,7508,62,37,9,3,1,5000
3477.127395538497,2,11434,72,52,14,0,1,5000
3019.0564421349177,3,8372,79,38,14,3,0,11000
2754.911900601309,1,9948,65,45,16,0,0,2000
3501.6766644536797,3,13109,94,51,14,0,1,6000
2754.592138431643,5,8509,74,40,16,0,0,7000
1927.2916048816023,3,7823,61,52,19,3,0,3000
3295.2623511966935,1,NA,98,36,14,0,0,7000
4141.505331483444,3,12122,94,23,4,0,0,3000
1864.3037741369778,3,7928,83,51,19,0,0,6000
1867.871242485643,3,7590,63,54,18,3,1,6000
3464.7363860877554,0,17003,109,45,10,0,1,8000
3322.446414070579,0,13870,83,37,13,3,NA,3000
2368.8079609985,5,14101,87,46,16,0,0,4000
4492.11414185523,5,17110,104,30,6,0,1,13000
1987.3115623002689,11,6324,62,57,19,6,1,10000
2546.722031915309,3,13116,97,63,17,0,1,8000
2453.921485488146,3,14547,87,57,20,0,1,11000
2405.3705266706916,3,8185,83,47,18,0,0,7000
3756.60977779695,2,19263,85,34,10,0,0,7000
2600.001665928648,5,11912,93,54,19,0,1,11000
2741.0588695669157,4,9587,82,45,13,3,1,7000
3255.8240355399803,14,9852,96,35,12,3,0,10000
2820.0671253750365,2,9599,93,45,16,0,0,5000
2707.1054819810843,3,10522,79,40,13,0,0,7000
2885.232931158336,11,6712,78,44,15,0,0,10000
3399.293728061174,0,9904,93,37,12,0,0,2000
2370.9788622649576,2,12559,101,62,21,0,1,8000
5342.679947863491,3,9005,83,25,3,3,1,5000
2662.637492598797,3,14815,97,43,11,3,1,8000
2884.2617830312656,1,9510,79,41,15,3,0,9000
2172.151234969082,0,15071,119,61,21,0,1,9000
2775.619300884458,0,8994,75,35,12,3,0,5000
3366.3878240566455,3,8076,65,50,16,3,0,11000
2708.8570987400985,2,12779,87,55,18,3,1,4000
3663.516059029272,1,12140,121,40,15,0,0,6000
2953.131100839966,2,14002,117,55,18,0,1,9000
3309.40157217855,0,9040,67,49,15,0,1,6000
2971.731090785843,3,8812,69,38,10,3,1,12000
3723.420119810751,10,5685,89,35,12,0,0,12000
3051.918839010465,4,14581,85,41,15,3,0,4000
2850.3311682128906,2,10011,91,52,16,0,1,9000
2776.7102014595116,3,9678,92,35,12,0,0,1000
3342.528228812635,4,8835,79,30,10,0,0,7000
2821.842328953842,3,8818,81,46,14,3,1,6000
2859.4401728177113,1,10983,110,57,19,6,1,10000
2442.9713785977983,3,12149,77,53,15,3,1,5000
2505.4827842448503,8,7159,83,43,18,0,0,4000
3549.3942522635275,2,11405,88,40,12,0,1,12000
2944.8891869826466,4,11161,89,50,16,3,1,8000
2753.5281799531017,7,9056,87,49,15,0,1,8000
2986.2375146811833,1,8919,83,53,15,0,1,9000
5317.627236384206,8,10986,135,55,14,0,1,10000
3698.5448386704143,7,12974,85,40,12,3,0,8000
2222.5805197710642,4,10283,72,44,14,0,1,5000
2282.3082941738116,0,15482,82,56,20,0,1,10000
3302.5856768810654,5,7582,91,30,8,3,0,8000
3106.8560830479582,8,8227,103,48,17,3,0,9000
2787.1108538985295,3,8580,79,35,10,0,0,7000
3318.6478624900296,9,10465,118,51,17,0,1,12000
4075.954991125876,0,12892,110,40,10,3,1,4000
2075.405586212152,0,10755,93,56,20,3,0,8000
2621.5527147095936,1,11322,96,54,17,0,1,5000
2898.2961579865855,4,12129,118,55,18,3,1,9000
1809.1475663584288,2,10173,66,59,21,3,1,8000
2212.8654562175348,3,10685,94,64,22,0,1,9000
2431.7019454644064,2,9502,77,47,18,3,0,4000
3914.135643867909,4,11176,86,28,7,0,0,4000
2550.154915304242,4,8928,66,49,16,3,1,9000
2777.1026620296325,4,15592,104,56,19,0,1,8000
3360.9402364850403,1,14689,108,45,10,0,1,5000
3220.1000899379355,5,8050,68,51,12,0,1,11000
2643.369816649497,0,10779,97,42,13,0,0,2000
4037.281813869402,3,8953,93,37,13,3,0,7000
4300.191971282405,1,12002,114,36,14,0,0,1000
2640.813168396305,0,11505,49,40,16,0,0,2000
3549.0857029459835,2,18123,101,41,9,0,1,5000
2848.0350718162153,1,14490,91,51,18,3,0,8000
2540.100938991775,1,11587,82,56,20,3,0,5000
3950.981911805265,2,16583,88,39,14,3,0,5000
3867.2841214201694,3,9819,92,38,11,3,0,6000
2993.410060108927,3,11071,72,44,13,0,1,8000
2743.7828226805264,0,11327,84,45,16,0,0,10000
2744.758736950086,2,14819,99,51,15,0,1,5000
3057.8283200031588,0,9346,68,29,7,0,0,5000
3738.1115796403938,0,15326,105,46,14,0,1,7000
